run_id,workload,secret_N,rep,runtime_ms,avg_cpu_percent,max_mem_mib,blk_read_mib,blk_write_mib,exit_code
d32c82e9-b781-4863-8d03-bec74a718264,secret,3,42,4807.028770999999,50.6751491627384,400.1484375,0.0,128.86328125,0
c81ef40e-50e6-423d-92f3-ecf6c4cf7e44,secret,0,11,2501.083267,12.252930721798316,139.8671875,0.0,0.125,0
015c02af-ec40-4825-ba62-38605fa4a486,secret,0,27,2477.263379,11.892235702403283,139.81640625,0.0,0.125,0
e994142c-47dd-46fd-8241-a4576c094e59,secret,3,5,4645.359324,51.62151800853888,400.01171875,0.0,128.04296875,0
7baac6b8-8337-4479-ab2d-9fed3807f219,secret,0,41,2438.847126,10.856810054932486,139.8046875,0.0,0.125,0
f56e0fa1-f080-4e0c-b1aa-0c39a9ee3c4b,secret,0,45,2436.1779420000003,10.954536423595941,139.82421875,0.0,0.125,0
5035ed8e-f83a-41fe-ac6f-97c18363d80a,secret,2,35,14118.199032999999,83.98338182005712,139.9140625,0.0,1.0703125,0
57063fdc-483f-4d91-b9e2-d5c38bf60949,secret,0,10,2451.478467,11.079558872584624,140.0,0.0,0.125,0
f8896515-2952-4445-b013-697456bae742,secret,1,45,2467.020486,10.468903743023073,139.91015625,0.0,0.125,0
5fa9839e-d5e0-46f3-a35a-d6e4a13826b2,secret,2,0,13154.599384000001,83.30917331720087,139.97265625,0.0,1.0703125,0
ca939774-8a00-4edb-aead-9a44cd9785ad,secret,1,34,2462.647611,10.56521439924358,139.8125,0.0,0.125,0
dce32a45-4435-4993-8341-18fa1bc09401,secret,0,3,2444.845092,10.95304569096192,139.97265625,0.0,0.125,0
870f7dc8-d09f-4bbb-ba6e-4ae414b76e4d,secret,0,35,2408.554206,11.640302688707683,139.77734375,0.0,0.125,0
15874386-747c-4400-bebb-e14e1c2be903,secret,0,24,2479.38073,11.229457284682534,140.02734375,0.0,0.125,0
2750b76b-7d9a-4c49-bf9a-e39b212e00df,secret,3,12,4475.423379999999,51.82537612787822,276.390625,0.0,128.04296875,0
c52b2f4f-9c94-4276-a15d-af6bfaf909b7,secret,2,14,13928.606362,83.83802870514347,139.9921875,0.0,1.0703125,0
470d99a0-226c-4ab9-b0f3-7081f822548f,secret,3,34,4603.496816,51.65177896367204,400.37109375,0.0,128.04296875,0
3a88c02e-9410-4270-ae96-54bc01b44b50,secret,1,25,2438.035442,10.489634219189501,139.9609375,0.0,0.125,0
f86297ee-187f-4df6-aad8-0304860cb136,secret,3,26,4607.527712,50.520933253151966,268.13671875,0.0,128.04296875,0
5ab05fc8-4631-4104-b40b-549ab6b8f7b3,secret,3,37,4567.247268,51.368688015601435,272.53125,0.0,128.04296875,0
788d8c33-9e19-4198-bfef-6eca7b7e8c21,secret,1,28,2392.961735,10.794447576070414,139.91015625,0.0,0.125,0
f576f31f-c0b2-49e8-aa2f-bb4dfae94b40,secret,0,49,2434.118659,11.020046167765726,139.87109375,0.0,0.125,0
29f69019-de41-441a-b539-4472cd03970d,secret,0,21,2396.279328,11.14753179559207,139.78515625,0.0,0.125,0
9cec078c-20f0-4de7-ba87-801af1c5fd0d,secret,0,13,2426.900736,11.031600758474532,139.890625,0.0,0.125,0
92e38444-dfbf-41ca-a441-77ac02d8cd8b,secret,0,43,2488.1119630000003,10.75683104217284,139.81640625,0.0,0.125,0
bb8b6e9c-e0ba-4132-beeb-7853dd27b0e8,secret,0,38,2416.24242,11.05245060634272,139.9921875,0.0,0.125,0
6c32997c-675e-4221-88a6-0cec9cc6a28e,secret,0,16,2429.7797870000004,10.995893596179627,139.98828125,0.0,0.125,0
72486bef-c0b9-456f-a755-5618117f6362,secret,0,44,2430.5482739999998,10.957733399044598,139.96484375,0.0,0.125,0
