run_id,workload,intensity,N,rep,runtime_ms,avg_cpu_percent,max_mem_mib,blk_read_mib,blk_write_mib,exit_code
8719ade2-73ff-40ad-8b14-50c5c1581b37,cpu,low,2000000,2,2737.2480490000003,22.789604333735703,11.73046875,0.0,0.0,0
760e3a6c-b447-4f3f-9625-dd88ba1aadcb,mem,med,192,26,2414.117165,10.521734557154353,204.07421875,0.0,0.0,0
63f600e4-98b7-4111-ad73-f97761f13b79,cpu,high,12000000,3,5722.582428,62.499423031464985,11.515625,0.0,0.8203125,0
80e65561-d75b-4161-a5e3-6465a28238bb,mix,low,64,17,3159.4539290000002,32.204236012456825,11.72265625,0.0,32.0,0
7e08f8d1-e63a-42f1-8680-dd4b1b622994,disk,high,320,21,2507.186901,9.110928264218783,344.2109375,0.0,320.0,0
e66f68d8-44ff-469f-bffa-993635542530,cpu,high,12000000,5,5792.578653,61.613008882522635,11.671875,0.0,0.8203125,0
5a6493f4-3c10-4dc2-91ac-bccdf1820dac,cpu,med,6000000,15,3938.181591,45.05533731748125,11.7265625,0.0,0.0,0
07fbe6ce-b83a-4519-9a2a-25da823bf3e0,disk,med,192,18,2420.090702,6.570952066737869,212.1875,0.0,192.0,0
76df1e8f-466a-4ea5-997c-55029d528bad,mix,low,64,19,3170.551502,32.134787886501904,11.8203125,0.0,32.0,0
b592c188-b79c-4f89-8815-f690022e7b12,disk,low,64,12,2314.593931,3.814621598089725,80.7109375,0.0,64.0,0
1ff21e28-07c4-4538-a237-95b0c2176e13,mem,low,64,17,2298.173191,5.009196019291655,75.7578125,0.0,0.0,0
d085accf-633b-4c43-88b6-643ef220fcf4,cpu,high,12000000,28,5661.851274,62.253224774480366,11.55859375,0.0,0.8203125,0
a5d9583a-634f-4e6f-b6c7-e918f2727e63,mem,high,320,0,2512.630527,15.465306013931112,332.203125,0.0,0.0,0
7cf58d00-497c-4229-bf12-f89e20187d8e,mix,high,320,13,7044.587630999999,68.04313113952375,177.43359375,0.0,160.0,0
94fbd827-7ff2-434a-9af9-9aec49fe20c3,mix,high,320,15,7047.852739999999,68.86591106612707,179.33984375,0.0,160.0,0
6b9b0e3d-4ece-4bc8-97e2-67afcac40561,cpu,low,2000000,18,2764.905681,22.469663405491044,11.56640625,0.0,0.0,0
76603269-6066-40db-b9ec-ff4606161c8b,cpu,high,12000000,21,5678.919129,61.78040081753734,11.71484375,0.0,0.8203125,0
d723daa2-c946-4db7-b441-708c6c448b79,mix,high,320,17,7053.855374000001,68.7848097635238,179.37890625,0.0,160.0,0
d2f7ec91-570c-47ef-b122-da228d3a14bd,cpu,high,12000000,29,5657.039479,61.96021811429186,11.6953125,0.0,0.8203125,0
