run_id,workload,secret_N,mitigation,rep,runtime_ms,avg_cpu_percent,max_mem_mib,blk_read_mib,blk_write_mib,exit_code
720ef4ea-c4ab-4276-8980-60d775226e63,secret,2,high,16,20275.254443,88.97262942230589,283.984375,0.0,140.8203125,0
9189f7f0-1be9-4854-9545-233e2a899c9e,secret,2,high,3,20226.859883,89.15184118695464,139.96875,0.0,140.8203125,0
f1aef7ee-8e02-4256-ad75-fe1d2a687c23,secret,3,low,13,10264.183342,77.73183442030532,400.0390625,0.0,128.04296875,0
db2ee5fc-a86a-45a5-b9d8-905a8d603127,secret,1,none,12,2433.082781,10.67703088561704,139.8515625,0.0,0.125,0
bda7ae42-a215-4f8d-ad41-8813982bbdaf,secret,1,high,25,20213.048702,88.83218095755817,140.015625,0.0,140.0,0
bbc73cb3-4f1e-4295-bb28-4b3e619112d6,secret,3,none,15,4551.490255,50.96311032308252,277.97265625,0.0,128.04296875,0
c90f754f-581e-4b8c-9eb1-11d806261b40,secret,2,low,27,13485.132181,83.71879376834414,253.96484375,0.0,64.8203125,0
ec39b847-e4d3-4534-b8ef-1017da312deb,secret,3,none,12,4622.214252,50.04196850025203,346.6640625,0.0,128.86328125,0
83b81fe6-10de-4a4d-816f-c8f01b78600c,secret,0,low,25,10204.79764,78.65667976146167,139.91015625,0.0,64.0,0
0e083622-41b4-4e22-9af7-46f5ca7892ea,secret,1,low,13,10208.399842,78.52968265425433,139.85546875,0.0,64.0,0
d6384cc1-a814-4911-b226-b20c0c5a3f28,secret,2,low,2,13269.562507999999,83.33044886245168,139.90234375,0.0,64.8203125,0
a3547d12-e072-4735-be13-d658bc188d81,secret,1,none,22,2425.5604810000004,10.79107291078923,139.81640625,0.0,0.125,0
601b7eaf-b0e0-48a6-9214-c47dcbebfc75,secret,0,high,0,20205.272294,88.96788292894263,140.0859375,0.0,140.0,0
0f2bb282-cbbb-4358-9638-c0144fdfc100,secret,2,none,23,13124.439769,82.9808829305162,139.83984375,0.0,1.0703125,0
7c09da45-9873-4fe0-8bee-0457e3685eb1,secret,0,low,5,10278.797936,77.97032347460285,139.953125,0.0,64.0,0
7f5d0689-a126-42f2-9a03-9dbbe06ecc72,secret,0,none,7,2447.649587,10.858376191248489,139.8671875,0.0,0.125,0
dfbacf2c-9fd9-41b6-b6bf-1648c3441e60,secret,2,low,14,13094.511569,83.55361666105684,139.859375,0.0,64.8203125,0
ba9ccc54-0e29-4f3f-ac8e-2958a7a05ffc,secret,1,low,8,10275.355481,77.9852435744651,139.98828125,0.0,64.0,0
273fc51c-00f2-43c2-8e78-822607a8ae51,secret,1,low,5,10175.183665,78.90530789745699,139.859375,0.0,64.0,0
151b9127-80a8-41ef-8f6c-5218d974b45a,secret,2,low,5,13501.671734,83.11076747438865,205.97265625,0.0,64.8203125,0
aef76854-2584-496c-b977-6afdff2f9c45,secret,2,low,17,13466.490165,83.70273071817893,139.98828125,0.0,64.8203125,0
fb7d7e3f-0e3e-4909-b5bb-9c00ffb0d5f5,secret,3,none,19,4558.307932,51.229492057931466,281.8046875,0.0,128.04296875,0
0dc306e9-3dbd-450d-8be7-00bb467d093c,secret,2,low,7,13222.767247,83.41055086258375,139.98828125,0.0,64.8203125,0
f7f46ddf-9b98-4078-b4f5-616be4a77634,secret,0,none,4,2434.781504,11.221458662764674,139.86328125,0.0,0.125,0
e12b3d18-29a3-4368-a72f-c4c4550e3433,secret,3,none,14,4511.954239,51.47286246667983,280.26171875,0.0,128.04296875,0
491153fa-0359-4259-87f0-fdcc7afd8db9,secret,2,none,4,13008.756370000001,82.99631950136983,139.78515625,0.0,1.0703125,0
4df118bc-340d-4f1a-815a-5562b7d59cf1,secret,1,low,29,10265.18959,78.34252771945151,139.8671875,0.0,64.0,0
c7f92a98-d089-4ffe-8194-c2dbfc2f2947,secret,2,low,1,13551.933142,83.44356396618947,139.8203125,0.0,64.8203125,0
31a98393-6da0-4173-99c7-9eac493af388,secret,3,high,28,20196.283192,88.51198921136617,414.1796875,0.0,140.0,0
0babe275-8998-43d9-9223-244ca2d64f22,secret,3,none,5,4546.125527,51.63467189937098,399.99609375,0.0,128.04296875,0
077af98d-c803-4d20-97ff-bc4b746e4031,secret,2,none,7,13192.525194,83.52817855532078,139.95703125,0.0,1.0703125,0
a36dc206-36f1-4af1-a3b5-3692d951b49e,secret,0,low,14,10201.876193,78.47421247371335,139.8515625,0.0,64.0,0
0674458d-af2e-4c64-a0d9-ad4d3718ab7f,secret,2,high,21,20276.470384,88.94918424378176,139.87109375,0.0,140.8203125,0
ac4ee760-9b37-477c-9ce3-01beede53cba,secret,2,none,14,13145.817943999999,82.74007023628685,213.45703125,0.0,1.0703125,0
1e27220d-6382-469a-95cd-543fb39e62ed,secret,2,none,6,13298.634543,83.50345265969612,139.93359375,0.0,1.0703125,0
a589d33f-413a-4ebf-9f13-c6aada79e0b3,secret,1,none,0,2435.102982,10.774328722003922,139.78125,0.0,0.125,0
9d6ff7a3-c33e-48b4-86ba-4a91c3787db3,secret,1,high,21,20229.661342,88.64378744081894,139.8359375,0.0,140.0,0
e59eb0b1-eb08-495c-bc74-33216914e034,secret,2,low,26,13388.980672000002,83.11375804187881,139.8359375,0.0,64.8203125,0
8e98b7db-2167-4bd6-bcf1-4455f5195c15,secret,1,high,23,20176.924647,89.39416841546179,139.95703125,0.0,140.0,0
4eca53b1-8a5c-44e6-abb4-355e1601e700,secret,1,high,10,20210.230144,89.25761295872951,139.9765625,0.0,140.0,0
8c0e285e-d3eb-41ae-9cd9-ccb202809ef2,secret,1,low,7,10163.23124,78.8415200912028,139.94140625,0.0,64.0,0
f4574a3d-efa1-4297-bb3b-c069231c9536,secret,3,high,14,20270.375198,88.22776996137968,414.25,0.0,140.0,0
44c34dc7-a3e1-4a25-8d71-7d465a98c792,secret,3,high,3,20158.528918999997,89.01731407139889,414.21484375,0.0,140.0,0
a344f1ff-a8ff-4ac7-9200-7941a4f8d2e4,secret,2,high,6,20173.536768,89.25723935805998,139.98046875,0.0,140.8203125,0
a4cb797a-bbb1-4fd7-aaf0-baca8a92f305,secret,3,low,16,10204.991682,76.76948932568469,364.35546875,0.0,128.86328125,0
27eb3fd5-276a-410d-b0fa-ed9191831be6,secret,3,none,21,4642.657888,51.085349323934516,400.01171875,0.0,128.04296875,0
194b595f-d8b8-41ee-bef0-be8b017cbebb,secret,3,high,24,20221.990423000003,88.53449945084073,414.25,0.0,140.0,0
6baf5a0b-a941-406c-82d8-b4fc13d7ca74,secret,1,none,29,2453.008507,10.727806252976848,139.9765625,0.0,0.125,0
91fb33ce-cf59-46cf-b499-ae58b461ecd9,secret,0,high,9,20175.900585,89.05771974986166,140.20703125,0.0,140.0,0
f4b1af84-7319-40f5-9bff-fd9e133546f9,secret,2,none,3,13044.479239999999,83.69752290701642,265.234375,0.0,1.0703125,0
8eabbeb7-0810-4312-9cd7-2847f1f18b74,secret,3,low,24,10186.11787,78.21941687387915,399.99609375,0.0,128.04296875,0
b2e29996-2da5-4872-b1e6-f8ef58145cae,secret,2,high,11,20241.183835,88.92479385951884,140.2265625,0.0,140.8203125,0
708db2fe-75e9-4fec-b455-63cc54687540,secret,2,none,13,13146.663168,82.73273499905646,139.96484375,0.0,1.0703125,0
4b04cfb0-f89a-479b-84ba-78b1c33e1141,secret,3,none,1,4563.771119,51.323629930706005,287.48828125,0.0,128.04296875,0
158b1357-15b4-474d-99f0-513b4a077fd9,secret,0,high,27,20235.462632000002,89.01542469068666,139.8515625,0.0,140.0,0
bd4e6bc6-443f-4e2b-96b8-722554cab2c3,secret,1,high,14,20248.211415,88.93450206994493,139.81640625,0.0,140.0,0
ba00a6fc-46c3-483d-8d61-b3891e287e15,secret,1,low,1,10160.090397,78.84798940731315,139.9140625,0.0,64.0,0
863997b4-efc1-4504-863b-d6b29ceac3f3,secret,1,high,16,20179.392498999998,89.0172932653457,139.83984375,0.0,140.0,0
1fa6411b-6b9b-4ba5-987f-46f10736172c,secret,0,none,22,2441.4100099999996,11.218680962154327,139.953125,0.0,0.125,0
bf91b666-9b2d-453d-8b4d-c030d8504f7b,secret,3,low,19,10253.619047999999,77.65217298133426,400.0,0.0,128.04296875,0
3fae7cdf-aa19-487e-9b03-0071a2ec0329,secret,2,high,24,20205.747362000002,89.2416681102914,139.95703125,0.0,140.8203125,0
2f743c84-5698-47e5-a347-9ec5327c1b32,secret,1,high,2,20185.691032000002,89.09489386065422,140.16796875,0.0,140.0,0
4eb0ca08-e276-40ef-ae0b-cdb8d3182a19,secret,2,low,4,13219.27634,83.66724255951216,139.89453125,0.0,64.8203125,0
d65d9a66-040a-4666-8d32-0c23309924ad,secret,0,none,24,2427.112314,11.325887080477317,139.8046875,0.0,0.125,0
a81a800d-bbcf-4f40-82e1-d9397f2e0291,secret,2,high,5,20305.239372,88.89488407061364,283.984375,0.0,140.8203125,0
86d0f2fb-a3b6-4679-929a-136ea56bc2aa,secret,1,none,16,2452.2390619999996,10.789037826688041,139.8046875,0.0,0.125,0
380691bc-af02-4bf6-9108-0187469ac1a4,secret,3,none,23,4619.201146,51.07610440482861,400.10546875,0.0,128.04296875,0
f3c1c960-07ef-461b-a7b9-2505fb56ee6c,secret,0,low,27,10223.965387,78.67499248606367,140.07421875,0.0,64.0,0
446718d1-d022-47db-90e2-7d20cdd0f8d4,secret,0,none,17,2434.0437279999996,11.227818007384624,139.78515625,0.0,0.125,0
6e1dc8b8-b683-40db-b234-c3b82c4a8523,secret,1,none,18,2446.089779,10.737177443559402,139.8125,0.0,0.125,0
cdca1e18-5de2-4930-a3af-d86b35b90b84,secret,2,none,1,13946.50639,84.43114476642778,139.8984375,0.0,1.0703125,0
a1297304-96ea-4d52-a8f2-9a020fdba02b,secret,0,high,21,20219.365443000002,88.7839930021883,140.26171875,0.0,140.0,0
