run_id,workload,intensity,N,rep,runtime_ms,avg_cpu_percent,max_mem_mib,blk_read_mib,blk_write_mib,exit_code
52622337-67c4-4018-a53a-556142a2b1a2,disk,low,64,28,2275.303911,4.138216417806703,11.62890625,0.0,64.0,0
b90cd5fc-9561-4c1a-b270-edd00d8be186,cpu,med,6000000,6,3846.279114,43.909371887564994,11.3359375,0.0,0.0,0
c46258b7-3dfd-4af0-8d82-3205f1f6fb70,cpu,low,2000000,22,2789.609387,21.292622643443952,11.203125,0.0,0.0,0
f2df1a68-37fb-431b-9dde-a0edebce9e99,mix,low,64,25,3131.290802,30.99437456847229,11.41796875,0.0,32.0,0
100a47c3-9ec2-43e7-bfd0-3733291d65dc,mix,high,320,29,7165.258442,64.86863017745705,179.09375,0.0,160.78125,0
ddc7357d-06f7-4443-ad1a-9ee2ab6a65df,disk,high,320,29,2578.784091,9.424519130865074,343.61328125,0.0,320.0,0
57e0dadb-22c8-46c7-8b83-8438035d7ad1,cpu,med,6000000,4,3883.913901,43.50619099885139,11.32421875,0.0,0.0,0
3a9091db-e1c9-48e4-8509-c483575c4973,mix,low,64,10,3121.447169,31.228463825395597,11.33203125,0.0,32.0,0
0d389391-314f-4e1c-a28b-51a4079f6f3b,mem,low,64,12,2269.418272,4.915180307493356,11.3046875,0.0,0.0,0
6bb0a88c-4ffa-4646-8bd4-16fbfbaa7bdf,mem,med,192,15,2471.080983,10.162556457179454,203.68359375,0.0,0.0,0
2ecc8c1e-3064-4989-a94a-cc89aee0b4a7,mix,med,192,8,5015.328508,55.52888500838359,110.25390625,0.0,96.78125,0
928031fd-122b-45c8-8030-694e3d29bc5c,disk,med,192,24,2439.661965,6.958709953901339,212.0546875,0.0,192.0,0
b470ace6-5a56-4380-9448-90d439da953d,mix,med,192,9,5039.490498,55.35442523618387,111.9921875,0.0,96.0,0
d7f4e03e-948e-475e-91a4-a3f6987ad8ac,mem,high,320,10,2605.655929,14.722588494146496,331.83984375,0.0,0.0,0
141f6544-4b78-42fc-aacd-1f93f8c9da72,cpu,high,12000000,27,5512.962385,59.95919741795953,11.296875,0.0,0.78125,0
057e2bf4-6279-418c-b05e-15e440a45655,mem,med,192,6,2403.907631,10.30646921724423,203.57421875,0.0,0.0,0
9ae49c8e-1a87-43d7-b5a3-6e7ffefba596,disk,med,192,25,2396.511255,6.978477553613659,212.046875,0.0,192.0,0
e25e0550-8cc1-4338-ae0d-04741e54a51d,cpu,high,12000000,0,5471.380177,60.28182822800032,11.3125,0.0,0.78125,0
948dd446-8f6c-4f1f-b2dc-3f617a91f2ea,mix,med,192,4,5037.045333,56.08651130239887,107.390625,0.0,96.0,0
b22e3108-96e5-40b6-a714-b7709190373a,disk,low,64,0,2322.286653,3.7746847438820468,80.046875,0.0,64.0,0
0e8d83e3-6666-45bd-8dc3-c9f17c6c4838,cpu,low,2000000,9,2786.9536519999997,21.281731742268672,11.17578125,0.0,0.0,0
7de6bce1-cd92-4c27-ae75-84d78aa9f9c0,mem,high,320,9,2556.286167,15.614879318008686,331.74609375,0.0,0.0,0
a4d87435-9ccd-475b-9f61-1f7cec778f6d,mix,high,320,7,6822.99428,67.25337603536728,176.85546875,0.0,160.0,0
c7514284-0d58-4373-b9da-3ddc1d07e09c,disk,low,64,26,2230.510771,3.7907012644504285,80.140625,0.0,64.0,0
1a1479ea-fe78-4484-a915-464a389be68d,mem,high,320,28,2560.153221,15.078120982509741,331.7734375,0.0,0.0,0
f75859e4-2a6d-48a5-b44c-64f7be5a4655,disk,high,320,18,2588.005949,9.509985867501575,343.83984375,0.0,320.0,0
8acdfab9-281b-4231-82fa-7062d1a77c70,cpu,med,6000000,3,3915.634103,43.086712282626166,11.34375,0.0,0.0,0
11648f74-456d-4908-babd-62881c92d06f,disk,low,64,24,2283.293235,4.06802764428985,80.05078125,0.0,64.0,0
9d7f1629-655b-4431-9e74-b97b74651e15,mix,high,320,21,6917.855028,67.73618384649387,177.07421875,0.0,160.0,0
cdd51e08-5e7f-4f6e-aefd-9fca45b67b37,disk,med,192,7,2472.4380039999996,7.329243431254103,212.04296875,0.0,192.0,0
41fd4416-6d80-495d-abdd-82937822df20,cpu,med,6000000,25,3883.736131,43.96408361451577,11.3125,0.0,0.0,0
b22e26d4-3816-4f20-b244-0d13b59fdd5e,disk,low,64,6,2270.479777,3.8915123092065316,80.0546875,0.0,64.0,0
8d0c7c5b-6730-451c-acb1-00390eb7e344,mix,high,320,6,6877.1141450000005,67.06419150179744,179.10546875,0.0,160.0,0
ef989367-e486-4193-a01b-53bbab922516,mem,low,64,14,2271.8079599999996,5.7111781578580265,75.4609375,0.0,0.0,0
c8fec792-4f15-4c6c-b348-398cb1e7f694,disk,low,64,20,2317.0556,3.8566187190328964,80.32421875,0.0,64.0,0
e0858332-f984-459b-9b7c-499763426b01,mem,high,320,7,2568.272127,14.954801555575187,331.84375,0.0,0.0,0
aea8b76b-d866-486c-afa9-0c770caf9f1d,disk,low,64,4,2273.307457,4.138815438724882,80.1875,0.0,64.0,0
fa1cd2d1-5917-408c-a08b-b032e0ed37d8,mix,med,192,25,5073.130563000001,55.66533257780063,107.30859375,0.0,96.0,0
afdea934-5d88-467e-8c24-a81d82de1ea4,disk,low,64,16,2252.697555,3.8318947791462397,80.24609375,0.0,64.0,0
47af8078-8100-4113-88d1-0fb1f5469906,mem,high,320,20,2582.632304,14.951063664849132,331.83203125,0.0,0.0,0
3d45bea7-79e1-4e1d-8e61-fe1444792626,cpu,high,12000000,24,5558.705924,60.36825919341439,11.15625,0.0,0.78125,0
f9d32983-cd97-45bb-8f8e-a47f64763e5e,mix,low,64,29,3137.8151070000004,31.027417703104327,11.3828125,0.0,32.0,0
497e3e33-4bb6-4580-93f1-faed75859939,mix,low,64,22,3139.7381320000004,31.189161606169257,46.29296875,0.0,32.0,0
be069799-50a6-4fe8-836b-7b0cd20003b2,disk,low,64,7,2272.961857,3.951672119942662,80.24609375,0.0,64.0,0
c28ee95c-e39a-4823-92d1-ac5db0ccc91c,mix,low,64,3,3171.475819,30.393294951999128,11.453125,0.0,32.0,0
c52afe05-7825-470e-b6cc-f694e5c064b9,mix,med,192,16,5007.110143,56.635642496590464,113.0546875,0.0,96.0,0
