run_id,workload,intensity,N,rep,runtime_ms,avg_cpu_percent,max_mem_mib,blk_read_mib,blk_write_mib,exit_code
574701e6-643b-49b4-9fd4-bfebec393800,cpu,low,2000000,2,2759.583599,21.42917504707202,11.34375,0.0,0.0,0
855c4114-1b8d-4553-89ca-aa17668c2770,mem,med,192,26,2438.319781,11.636906783556952,203.69140625,0.0,0.0,0
5d02c9e9-68d4-43b9-b9c2-c60e14535a33,cpu,high,12000000,3,5557.629497,60.407355362789495,11.328125,0.0,0.78125,0
aeb91408-8cb8-4347-8a04-85064aa297de,mix,low,64,17,3131.064664,30.965792918545738,11.390625,0.0,32.0,0
9ba1280f-648d-47e7-93f3-e902d1aaae4c,disk,high,320,21,2700.11762,10.69053428865073,343.84375,0.0,320.78125,0
b240c99f-ef9e-40d6-9621-c75b0d4bf57a,cpu,high,12000000,5,5534.350724,59.81586937821254,11.25390625,0.0,0.78125,0
a61db278-91b1-407f-9283-1fe824f932f6,cpu,med,6000000,15,3849.1924169999998,44.360759739073345,11.26953125,0.0,0.0,0
71f61e68-b22d-47bd-9080-91ff7650ca12,disk,med,192,18,2418.900052,6.725246868529977,211.8046875,0.0,192.0,0
060fd6a9-2b71-4285-b1c1-99780236acb4,mix,low,64,19,3153.549091,30.75335033685702,11.375,0.0,32.0,0
bc755cc6-8c09-4f46-8c80-d609f2d97cdf,disk,low,64,12,2300.201587,4.429090066530764,80.26171875,0.0,64.0,0
cd2a5ba0-c29a-432b-9ae8-a7540dc214af,mem,low,64,17,2254.880218,5.121025900986463,75.3359375,0.0,0.0,0
048ead8c-f74c-4111-999d-d19b88b25e09,cpu,high,12000000,28,5477.169603,60.548955763274726,11.17578125,0.0,0.78125,0
ca0e0b4e-859a-4d28-97d9-208f35dc362f,mem,high,320,0,2543.3589269999998,16.02675877449994,331.8359375,0.0,0.0,0
daf1688d-81b1-4671-bad8-fa0704ba431e,mix,high,320,13,6900.989915,67.26446578208048,179.1015625,0.0,160.0,0
5d7506ce-0e7c-4afe-bdc5-3b262c65ad0a,mix,high,320,15,6965.124131,67.79326414276076,179.1171875,0.0,160.0,0
380ea65d-1bfc-47f6-9f93-1428a743c61e,cpu,low,2000000,18,2764.5406709999997,21.360438144192525,11.33984375,0.0,0.0,0
d03ac76b-892f-4253-b5d0-624cbbe28bc3,cpu,high,12000000,21,5462.415123000001,60.6566861981793,11.203125,0.0,0.78125,0
4fb251c0-5ec7-40c6-9e17-cc6874759970,mix,high,320,17,6902.338082,67.91658050226465,178.890625,0.0,160.0,0
67715085-6a99-40ee-9cc4-5b7fd408b5a3,cpu,high,12000000,29,5632.644346,60.79121616175976,11.19140625,0.0,0.78125,0
7de8707a-99d7-404a-b9c3-2ca28cafe653,cpu,low,2000000,15,2771.214904,21.454092179637037,11.140625,0.0,0.0,0
ac7481d7-3734-4756-a5e7-c6f3a37baf97,disk,high,320,22,2527.0985650000002,9.922604661049299,343.609375,0.0,320.0,0
490ea99c-1d76-4e1b-a439-ec320a410b74,mem,med,192,20,2460.513186,10.217502650684839,203.56640625,0.0,0.0,0
7edfa26e-85ee-42b2-8648-8f6f15c27cf2,mix,med,192,22,5160.734335,57.431012867667796,111.015625,0.0,96.0,0
aa61d5d9-52c1-4a18-9787-829a1d31b763,mem,low,64,25,2323.7398439999997,4.883593156652867,75.30859375,0.0,0.0,0
fab83baf-2b9c-4d3c-a18a-e05cc6004758,mix,med,192,18,5142.1090300000005,56.44899754294007,107.4296875,0.0,96.78125,0
d61ffdeb-883c-4f6a-81a4-2e90ab312121,cpu,high,12000000,26,5582.788557,61.15812850764214,11.30859375,0.0,0.78125,0
6f058427-dc9b-4394-a965-6b9747a97a43,disk,low,64,13,2337.0831820000003,4.389017934407437,80.0546875,0.0,64.0,0
cb6d930d-da15-47e1-8f49-c7ecdc7ae718,mix,high,320,18,7029.015459,67.5967641231503,179.109375,0.0,160.0,0
4c791086-3ab6-42cc-b919-cb6e0be513b6,mem,high,320,15,2531.282862,15.390891545490188,331.83203125,0.0,0.0,0
cefa5b25-1e6a-4f02-9b68-31f9fb7b05ae,cpu,low,2000000,16,2770.844535,22.200379423308206,11.26953125,0.0,0.0,0
946e00b4-43f2-4ad7-bbe8-c2686b641d75,mem,high,320,16,2537.406246,15.69094427144403,331.91015625,0.0,0.0,0
caa26e7a-89a7-4fc2-af61-1f781c2c915b,disk,high,320,10,2536.314714,9.393708071197981,343.609375,0.0,320.0,0
